day,subject,trial,s1,s2,c,r,stim_l,stim_r,stake,s1L
1,0hc5jby300,70.0,3,4.0,2,3.6,1,2,5,1
1,0hc5jby300,70.0,1,1.0,1,27.0,1,2,1,1
1,0hc5jby300,71.0,1,2.0,2,15.0,1,2,1,1
1,0hc5jby300,71.0,3,4.0,2,2.4,2,1,5,0
1,0hc5jby300,72.0,3,4.0,2,4.2,1,2,5,1
1,0hc5jby300,72.0,1,1.0,1,27.0,1,2,1,1
1,0hc5jby300,73.0,1,1.0,1,27.0,2,1,1,0
1,0hc5jby300,73.0,4,3.0,3,1.8,4,3,5,0
1,0hc5jby300,74.0,4,4.0,4,3.6,4,3,5,0
1,0hc5jby300,74.0,1,1.0,1,27.0,2,1,1,0
1,0hc5jby300,75.0,1,1.0,1,27.0,1,2,1,1
1,0hc5jby300,75.0,3,3.0,1,0.0,2,1,5,0
1,0hc5jby300,76.0,1,1.0,1,21.0,1,2,1,1
1,0hc5jby300,76.0,4,3.0,3,0.0,4,3,5,0
1,0hc5jby300,77.0,2,1.0,3,21.0,3,4,1,1
1,0hc5jby300,77.0,4,3.0,3,0.6,3,4,5,1
1,0hc5jby300,78.0,1,2.0,2,18.0,2,1,1,0
1,0hc5jby300,78.0,3,4.0,2,1.8,2,1,5,0
1,0hc5jby300,79.0,3,4.0,2,1.8,1,2,5,1
1,0hc5jby300,79.0,2,2.0,4,27.0,4,3,1,0
1,0hc5jby300,80.0,1,2.0,2,27.0,1,2,1,1
1,0hc5jby300,80.0,3,3.0,1,0.0,1,2,5,1
1,0hc5jby300,81.0,1,1.0,1,12.0,1,2,1,1
1,0hc5jby300,81.0,4,4.0,4,1.8,4,3,5,0
1,0hc5jby300,82.0,2,1.0,3,12.0,4,3,1,0
1,0hc5jby300,82.0,3,4.0,2,2.4,1,2,5,1
1,0hc5jby300,83.0,3,3.0,1,0.0,1,2,5,1
1,0hc5jby300,83.0,2,1.0,3,18.0,4,3,1,0
